Title,Link,Inferred Organism,PMCID,PMID,pub_date,first_author,abstract
Effect of leptin deficiency on the skeletal response to hindlimb unloading in adult male mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6597714/,mouse,PMC6597714,31249331,2019 Jun 27,Keune JA,"1. Sci Rep. 2019 Jun 27;9(1):9336. doi: 10.1038/s41598-019-45587-0.

Effect of Leptin Deficiency on the Skeletal Response to Hindlimb Unloading in 
Adult Male Mice.

Keune JA(1), Branscum AJ(2), Wong CP(1), Iwaniec UT(1)(3), Turner RT(4)(5).

Author information:
(1)Skeletal Biology Laboratory, School of Biological and Population Health 
Sciences, Oregon State University, Corvallis, OR, 97331, USA.
(2)Biostatistics Program, School of Biological and Population Health Sciences, 
Oregon State University, Corvallis, OR, 97331, USA.
(3)Center for Healthy Aging Research, Oregon State University, Corvallis, OR, 
97331, USA.
(4)Skeletal Biology Laboratory, School of Biological and Population Health 
Sciences, Oregon State University, Corvallis, OR, 97331, USA. 
russell.turner@oregonstate.edu.
(5)Center for Healthy Aging Research, Oregon State University, Corvallis, OR, 
97331, USA. russell.turner@oregonstate.edu.

Based on body weight, morbidly obese leptin-deficient ob/ob mice have less bone 
than expected, suggesting that leptin plays a role in the skeletal response to 
weight bearing. To evaluate this possibility, we compared the skeletal response 
of wild type (WT) and ob/ob mice to hindlimb unloading (HU). Mice were 
individually housed at 32 °C (thermoneutral) from 4 weeks of age (rapidly 
growing) to 16 weeks of age (approaching skeletal maturity). Mice were then 
randomized into one of 4 groups (n = 10/group): (1) WT control, (2) WT HU, (3) 
ob/ob control, and (4) ob/ob HU and the results analyzed by 2-way ANOVA. ob/ob 
mice pair-fed to WT mice had normal cancellous bone volume fraction (BV/TV) in 
distal femur, lower femur length and total bone area, mineral content (BMC) and 
density (BMD), and higher cancellous bone volume fraction in lumbar vertebra 
(LV). HU resulted in lower BMC and BMD in total femur, and lower BV/TV in distal 
femur and LV in both genotypes. Cancellous bone loss in femur in both genotypes 
was associated with increases in osteoclast-lined bone perimeter. In summary, 
leptin deficiency did not attenuate HU-induced osteopenia in male mice, 
suggesting that leptin is not required for bone loss induced by unweighting.

DOI: 10.1038/s41598-019-45587-0
PMCID: PMC6597714
PMID: 31249331 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no competing interests."
Thermoneutral housing attenuates premature cancellous bone loss in male C57BL/6J mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6865368/,mouse,PMC6865368,31590144,2019 Nov,Martin SA,"1. Endocr Connect. 2019 Nov;8(11):1455-1467. doi: 10.1530/EC-19-0359.

Thermoneutral housing attenuates premature cancellous bone loss in male C57BL/6J 
mice.

Martin SA(1), Philbrick KA(1), Wong CP(1), Olson DA(1), Branscum AJ(2), Jump 
DB(3), Marik CK(1), DenHerder JM(4), Sargent JL(4), Turner RT(1)(5), Iwaniec 
UT(1)(5).

Author information:
(1)Skeletal Biology Laboratory, School of Biological and Population Health 
Sciences, Oregon State University, Corvallis, Oregon, USA.
(2)Biostatistics Program, School of Biological and Population Health Sciences, 
Oregon State University, Corvallis, Oregon, USA.
(3)Molecular Nutrition and Diabetes Research Laboratory, School of Biological 
and Population Health Sciences, Oregon State University, Corvallis, Oregon, USA.
(4)Carlson College of Veterinary Medicine, Oregon State University, Corvallis, 
Oregon, USA.
(5)Center for Healthy Aging Research, Oregon State University, Corvallis, 
Oregon, USA.

Mice are a commonly used model to investigate aging-related bone loss but, in 
contrast to humans, mice exhibit cancellous bone loss prior to skeletal 
maturity. The mechanisms mediating premature bone loss are not well established. 
However, our previous work in female mice suggests housing temperature is a 
critical factor. Premature cancellous bone loss was prevented in female C57BL/6J 
mice by housing the animals at thermoneutral temperature (where basal rate of 
energy production is at equilibrium with heat loss). In the present study, we 
determined if the protective effects of thermoneutral housing extend to males. 
Male C57BL/6J mice were housed at standard room temperature (22°C) or 
thermoneutral (32°C) conditions from 5 (rapidly growing) to 16 (slowly growing) 
weeks of age. Mice housed at room temperature exhibited reductions in cancellous 
bone volume fraction in distal femur metaphysis and fifth lumbar vertebra; these 
effects were abolished at thermoneutral conditions. Mice housed at thermoneutral 
temperature had higher levels of bone formation in distal femur (based on 
histomorphometry) and globally (serum osteocalcin), and lower global levels of 
bone resorption (serum C-terminal telopeptide of type I collagen) compared to 
mice housed at room temperature. Thermoneutral housing had no impact on bone 
marrow adiposity but resulted in higher abdominal white adipose tissue and serum 
leptin. The overall magnitude of room temperature housing-induced cancellous 
bone loss did not differ between male (current study) and female (published 
data) mice. These findings highlight housing temperature as a critical 
experimental variable in studies using mice of either sex to investigate 
aging-related changes in bone metabolism.

DOI: 10.1530/EC-19-0359
PMCID: PMC6865368
PMID: 31590144"
Effects of Spaceflight on Cancellous and Cortical Bone in Proximal Femur in Growing Rats,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7907224/,human cell line,PMC7907224,33665238,2021 Jun,Gamboa A,"1. Bone Rep. 2021 Feb 14;14:100755. doi: 10.1016/j.bonr.2021.100755. eCollection 
2021 Jun.

Effects of spaceflight on cancellous and cortical bone in proximal femur in 
growing rats.

Gamboa A(1), Branscum AJ(2), Olson DA(1), Sattgast LH(1), Iwaniec UT(1)(3), 
Turner RT(1)(3).

Author information:
(1)Skeletal Biology Laboratory, School of Biological and Population Health 
Sciences, Oregon State University, Corvallis, OR 97331, USA.
(2)Biostatistics Program, School of Biological and Population Health Sciences, 
Oregon State University, Corvallis, OR 97331, USA.
(3)Center for Healthy Aging Research, Oregon State University, Corvallis, OR 
97331, USA.

Mechanical loading of the skeleton during normal weight bearing plays an 
important role in bone accrual and turnover balance. We recently evaluated bone 
microarchitecture in the femoral head in 5.6-week-old male Sprague Dawley rats 
subjected to a 4-day spaceflight aboard STS-41. Compared to weight bearing 
ground controls, cancellous bone volume fraction was dramatically lower in 
animals subjected to microgravity. The effects of spaceflight on the rat 
skeleton are potentially influenced by factors such as age, duration of flight, 
strain and sex. To test the generalizability of our initial observation, we 
evaluated archived proximal femora from two additional spaceflight missions: a 
10-day mission (STS-57) with 7.5-week-old male Fisher 344 rats, and a 14-day 
mission (STS-62) with 12-week-old ovariectomized (ovx) female Fisher 344 rats. 
Cancellous microarchitecture and cortical thickness were assessed using x-ray 
microtomography/microcomputed tomography. In male rats, cancellous bone volume 
fraction (bone volume/tissue volume) was lower in flight animals compared to 
flight controls, but differences were not significant compared to baseline. In 
ovx female rats, cancellous bone volume fraction was lower in flight animals 
compared to flight controls and baseline, indicating net bone loss. Cortical 
thickness did not differ among groups in either experiment. In summary, findings 
from three separate studies support the conclusion that spaceflight results in 
cancellous osteopenia in femoral head of growing rats.

© 2021 The Authors.

DOI: 10.1016/j.bonr.2021.100755
PMCID: PMC7907224
PMID: 33665238

Conflict of interest statement: The authors have no conflict of interest."
Evidence for increased thermogenesis in female C57BL/6J mice housed aboard the international space station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8213760/,mouse,PMC8213760,34145277,2021 Jun 18,Wong CP,"1. NPJ Microgravity. 2021 Jun 18;7(1):23. doi: 10.1038/s41526-021-00150-y.

Evidence for increased thermogenesis in female C57BL/6J mice housed aboard the 
international space station.

Wong CP(1), Iwaniec UT(1)(2), Turner RT(3)(4).

Author information:
(1)Skeletal Biology Laboratory, School of Biological and Population Health 
Sciences, Oregon State University, Corvallis, OR, USA.
(2)Center for Healthy Aging Research, Oregon State University, Corvallis, OR, 
USA.
(3)Skeletal Biology Laboratory, School of Biological and Population Health 
Sciences, Oregon State University, Corvallis, OR, USA. 
russell.turner@oregonstate.edu.
(4)Center for Healthy Aging Research, Oregon State University, Corvallis, OR, 
USA. russell.turner@oregonstate.edu.

Sixteen-week-old female C57BL/6J mice were sacrificed aboard the International 
Space Station after 37 days of flight (RR-1 mission) and frozen carcasses 
returned to Earth. RNA was isolated from interscapular brown adipose tissue 
(BAT) and gonadal white adipose tissue (WAT). Spaceflight resulted in 
differential expression of genes in BAT consistent with increased non-shivering 
thermogenesis and differential expression of genes in WAT consistent with 
increased glucose uptake and metabolism, adipogenesis, and β-oxidation.

DOI: 10.1038/s41526-021-00150-y
PMCID: PMC8213760
PMID: 34145277

Conflict of interest statement: The authors declare no competing interests."
Leptin and environmental temperature as determinants of bone marrow adiposity in female mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9582271/,mouse,PMC9582271,36277726,2022,Turner RT,"1. Front Endocrinol (Lausanne). 2022 Oct 6;13:959743. doi: 
10.3389/fendo.2022.959743. eCollection 2022.

Leptin and environmental temperature as determinants of bone marrow adiposity in 
female mice.

Turner RT(1)(2), Nesser KL(1), Philbrick KA(1), Wong CP(1), Olson DA(1), 
Branscum AJ(3), Iwaniec UT(1)(2).

Author information:
(1)Skeletal Biology Laboratory, School of Biological and Population Health 
Sciences, Oregon State University, Corvallis, OR, United States.
(2)Center for Healthy Aging Research, Oregon State University, Corvallis, OR, 
United States.
(3)Biostatistics Program, School of Biological and Population Health Sciences, 
Oregon State University, Corvallis, OR, United States.

Bone marrow adipose tissue (BMAT) levels are higher in distal femur metaphysis 
of female mice housed at thermoneutral (32°C) than in mice housed at 22°C, as 
are abdominal white adipose tissue (WAT) mass, and serum leptin levels. We 
performed two experiments to explore the role of increased leptin in 
temperature-enhanced accrual of BMAT. First, we supplemented 6-week-old female 
C57BL/6J (B6) mice with leptin for 2 weeks at 10 µg/d using a subcutaneously 
implanted osmotic pump. Controls consisted of ad libitum (ad lib) fed mice and 
mice pair fed to match food intake of leptin-supplemented mice. The mice were 
maintained at 32°C for the duration of treatment. At necropsy, serum leptin in 
leptin-supplemented mice did not differ from ad lib mice, suggesting suppression 
of endogenous leptin production. In support, Ucp1 expression in BAT, percent 
body fat, and abdominal WAT mass were lower in leptin-supplemented mice. 
Leptin-supplemented mice also had lower BMAT and higher bone formation in distal 
femur metaphysis compared to the ad lib group, changes not replicated by 
pair-feeding. In the second experiment, BMAT response was evaluated in 
6-week-old female B6 wild type (WT), leptin-deficient ob/ob and leptin-treated 
(0.3 μg/d) ob/ob mice housed at 32°C for the 2-week duration of the treatment. 
Compared to mice sacrificed at baseline (22°C), BMAT increased in ob/ob mice as 
well as WT mice, indicating a leptin independent response to increased 
temperature. However, infusion of ob/ob mice with leptin, at a dose rate having 
negligible effects on either energy metabolism or serum leptin levels, 
attenuated the increase in BMAT. In summary, increased housing temperature and 
increased leptin have independent but opposing effects on BMAT in mice.

Copyright © 2022 Turner, Nesser, Philbrick, Wong, Olson, Branscum and Iwaniec.

DOI: 10.3389/fendo.2022.959743
PMCID: PMC9582271
PMID: 36277726 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare that the research was 
conducted in the absence of any commercial or financial relationships that could 
be construed as a potential conflict of interest."
Small changes in thermoregulation influence cancellous bone turnover balance in distal femur metaphysis in growing female mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10063413/,mouse,PMC10063413,37007217,2023 Jun,Sattgast LH,"1. Bone Rep. 2023 Mar 21;18:101675. doi: 10.1016/j.bonr.2023.101675. eCollection 
2023 Jun.

Small changes in thermoregulation influence cancellous bone turnover balance in 
distal femur metaphysis in growing female mice.

Sattgast LH(1), Wong CP(1), Branscum AJ(2), Olson DA(1), Aguirre-Burk AM(1), 
Iwaniec UT(1)(3), Turner RT(1)(3).

Author information:
(1)Skeletal Biology Laboratory, School of Biological and Population Health 
Sciences, Oregon State University, Corvallis, OR 97331, USA.
(2)Biostatistics Program, School of Biological and Population Health Sciences, 
Oregon State University, Corvallis, OR 97331, USA.
(3)Center for Healthy Aging Research, Oregon State University, Corvallis, OR 
97331, USA.

Mice are typically housed at temperatures well below their thermoneutral zone. 
When individually housed at room temperature (~22 °C) mice experience cold 
stress which results in cancellous bone loss and has the potential to alter the 
skeletal response to treatment. It is not clear if there is a threshold 
temperature for cold stress-induced bone loss. It is also not clear if 
alternative strategies for attenuating cold stress, such as group housing, 
influence bone accrual and turnover. This study aimed to determine how small 
differences in temperature (4 °C) or heat loss (individual versus group housing 
with nestlets) influence bone in growing female C57BL/6 J mice. Five-week-old 
mice were randomized by weight to 1 of 4 treatment groups (N = 10/group): 1) 
baseline, 2) single housed at 22 °C, 3) single housed at 26 °C, or 4) group 
housed (n = 5/cage) with nestlets at 22 °C. Mice in the baseline group were 
sacrificed 1 week later, at 6 weeks of age. The other 3 groups of mice were 
maintained at their respective temperatures and housing conditions for 13 weeks 
until 18 weeks of age. Compared to baseline, mice single housed at room 
temperature had increased body weight and femur size, but dramatically decreased 
cancellous bone volume fraction in distal femur metaphysis. The cancellous bone 
loss was attenuated but not prevented in mice individually housed at 26 °C or 
group housed at 22 °C. In conclusion, by impacting thermogenesis or heat loss, 
modest differences in housing conditions could influence experimental results.

© 2023 The Author(s).

DOI: 10.1016/j.bonr.2023.101675
PMCID: PMC10063413
PMID: 37007217

Conflict of interest statement: The authors declare no competing interests."
Bone Marrow Adipose Tissue Is Not Required for Reconstitution of the Immune System Following Irradiation in Male Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10889206/,mouse,PMC10889206,38396660,2024 Feb 6,Keune JA,"1. Int J Mol Sci. 2024 Feb 6;25(4):1980. doi: 10.3390/ijms25041980.

Bone Marrow Adipose Tissue Is Not Required for Reconstitution of the Immune 
System Following Irradiation in Male Mice.

Keune JA(1), Wong CP(1), Branscum AJ(2), Menn SA(3), Iwaniec UT(1)(4), Turner 
RT(1)(4).

Author information:
(1)Skeletal Biology Laboratory, School of Nutrition and Public Health, Oregon 
State University, Corvallis, OR 97331, USA.
(2)Biostatistics Program, School of Nutrition and Public Health, Oregon State 
University, Corvallis, OR 97331, USA.
(3)Radiation Center, Oregon State University, Corvallis, OR 97331, USA.
(4)Center for Healthy Aging Research, Oregon State University, Corvallis, OR 
97331, USA.

Bone marrow adipose tissue (BMAT) is hypothesized to serve as an 
expandable/contractible fat depot which functions, in part, to minimize energy 
requirements for sustaining optimal hematopoiesis. We investigated whether BMAT 
is required for immune reconstitution following injury. Male wild type (WBB6F1, 
WT) and BMAT-deficient WBB6F1/J-KitW/KitW-v/J (KitW/W-v) mice were lethally 
irradiated. Irradiation was followed by adoptive transfer of 1000 purified WT 
hematopoietic stem cells (HSCs). The extent of immune reconstitution in blood, 
bone marrow, and lymph nodes in the irradiated mice was determined using HSCs 
from green fluorescent protein (GFP)-expressing mice. We also evaluated skeletal 
response to treatment. Detection of GFP-positive B and T cells in peripheral 
blood at 4 and 9 weeks following adoptive transfer and in bone marrow and lymph 
nodes following necropsy revealed excellent immune reconstitution in both WT and 
BMAT-deficient mice. Adipocytes were numerous in the distal femur of WT mice but 
absent or rare in KitW/W-v mice. Bone parameters, including length, mass, 
density, bone volume, microarchitecture, and turnover balance, exhibited few 
differences between WT and BMAT-deficient mice. The minimal differences suggest 
that BMAT is not required for reconstitution of the immune system following 
lethal radiation and is not a major contributor to the skeletal phenotypes of 
kit signaling-deficient mice.

DOI: 10.3390/ijms25041980
PMCID: PMC10889206
PMID: 38396660 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no conflict of interest."
Simulated Microgravity Promotes Horizontal Gene Transfer of Antimicrobial Resistance Genes between Bacterial Genera in the Absence of Antibiotic Selective Pressure,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8468678/,bacterial sample,PMC8468678,34575109,2021 Sep 13,Urbaniak C,"1. Life (Basel). 2021 Sep 13;11(9):960. doi: 10.3390/life11090960.

Simulated Microgravity Promotes Horizontal Gene Transfer of Antimicrobial 
Resistance Genes between Bacterial Genera in the Absence of Antibiotic Selective 
Pressure.

Urbaniak C(1)(2), Grams T(1), Mason CE(3)(4), Venkateswaran K(1).

Author information:
(1)NASA Jet Propulsion Laboratory, California Institute of Technology, Pasadena, 
CA 91109, USA.
(2)ZIN Technologies Inc., Middleburg Heights, OH 44130, USA.
(3)Department of Physiology and Biophysics, Weill Cornell Medicine, New York, NY 
10065, USA.
(4)The World Quant Initiative for Quantitative Prediction, Weill Cornell 
Medicine, New York, NY 10065, USA.

Bacteria are able to adapt and survive in harsh and changing environments 
through many mechanisms, with one of them being horizontal gene transfer (HGT). 
This process is one of the leading culprits in the spread of antimicrobial 
resistance (AMR) within bacterial communities and could pose a significant 
health threat to astronauts if they fell ill, especially on long-duration space 
missions. In order to better understand the degree of HGT activity that could 
occur in space, biosafety level-2, donor and recipient bacteria were co-cultured 
under simulated microgravity (SMG) on Earth with concomitant 1G controls. Two 
AMR genes, blaOXA-500 and ISAba1, from the donor Acinetobacter pittii, were 
tracked in four recipient strains of Staphylococcus aureus (which did not harbor 
those genes) using polymerase chain reaction. All four S. aureus strains that 
were co-cultured with A. pittii under SMG had a significantly higher number of 
isolates that were now blaOXA-500- and ISAba1-positive compared to growth at 1G. 
The acquisition of these genes by the recipient induced a phenotypic change, as 
these isolates were now resistant to oxacillin, which they were previously 
susceptible to. This is a novel study, presenting, for the first time, increased 
HGT activity under SMG and the potential impact of the space environment in 
promoting increased gene dissemination within bacterial communities.

DOI: 10.3390/life11090960
PMCID: PMC8468678
PMID: 34575109

Conflict of interest statement: The authors declare no conflict of interest."
Understanding the Complexities and Changes of the Astronaut Microbiome for Successful Long-Duration Space Missions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9031868/,cell culture,PMC9031868,35454986,2022 Mar 28,Tesei D,"1. Life (Basel). 2022 Mar 28;12(4):495. doi: 10.3390/life12040495.

Understanding the Complexities and Changes of the Astronaut Microbiome for 
Successful Long-Duration Space Missions.

Tesei D(1), Jewczynko A(2), Lynch AM(3)(4), Urbaniak C(5)(6).

Author information:
(1)Department of Biotechnology, University of Natural Resources and Life 
Sciences, 1190 Vienna, Austria.
(2)Department of Biology, University of Waterloo, Waterloo, ON N2L 3G1, Canada.
(3)Department of Pulmonary Medicine, The University of Texas MD Anderson Cancer 
Center, Houston, TX 77030, USA.
(4)Graduate Program in Developmental Biology, Baylor College of Medicine, 
Houston, TX 77030, USA.
(5)ZIN Technologies Inc., Middleburg Heights, OH 44130, USA.
(6)NASA Jet Propulsion Laboratory, California Institute of Technology, Pasadena, 
CA 91109, USA.

During space missions, astronauts are faced with a variety of challenges that 
are unique to spaceflight and that have been known to cause physiological 
changes in humans over a period of time. Several of these changes occur at the 
microbiome level, a complex ensemble of microbial communities residing in 
various anatomic sites of the human body, with a pivotal role in regulating the 
health and behavior of the host. The microbiome is essential for day-to-day 
physiological activities, and alterations in microbiome composition and function 
have been linked to various human diseases. For these reasons, understanding the 
impact of spaceflight and space conditions on the microbiome of astronauts is 
important to assess significant health risks that can emerge during long-term 
missions and to develop countermeasures. Here, we review various conditions that 
are caused by long-term space exploration and discuss the role of the microbiome 
in promoting or ameliorating these conditions, as well as space-related factors 
that impact microbiome composition. The topics explored pertain to microgravity, 
radiation, immunity, bone health, cognitive function, gender differences and 
pharmacomicrobiomics. Connections are made between the trifecta of spaceflight, 
the host and the microbiome, and the significance of these interactions for 
successful long-term space missions.

DOI: 10.3390/life12040495
PMCID: PMC9031868
PMID: 35454986

Conflict of interest statement: The authors declare no conflict of interest. The 
funders had no role in the design of the study; in the collection, analyses, or 
interpretation of data; in the writing of the manuscript, or in the decision to 
publish the results."
Toward sustainable space exploration: a roadmap for harnessing the power of microorganisms.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10030976/,cell culture,PMC10030976,36944638,2023 Mar 21,Santomartino R,"1. Nat Commun. 2023 Mar 21;14(1):1391. doi: 10.1038/s41467-023-37070-2.

Toward sustainable space exploration: a roadmap for harnessing the power of 
microorganisms.

Santomartino R(1), Averesch NJH(2)(3), Bhuiyan M(4), Cockell CS(5), Colangelo 
J(6), Gumulya Y(7), Lehner B(8), Lopez-Ayala I(9), McMahon S(5), Mohanty 
A(10)(11), Santa Maria SR(12)(13), Urbaniak C(14)(15), Volger R(16), Yang J(17), 
Zea L(18).

Author information:
(1)UK Centre for Astrobiology, School of Physics and Astronomy, University of 
Edinburgh, Edinburgh, UK. rosa.santomartino@ed.ac.uk.
(2)Department of Civil & Environmental Engineering, Stanford University, 
Stanford, CA, USA.
(3)Center for Utilization of Biological Engineering in Space, Berkeley, CA, USA.
(4)Everest Innovation Lab, Honolulu, HI, USA.
(5)UK Centre for Astrobiology, School of Physics and Astronomy, University of 
Edinburgh, Edinburgh, UK.
(6)Cemvita Factory, Westminster, CO, USA.
(7)Centre for Microbiome Research, Queensland University of Technology, 
Brisbane, QLD, Australia.
(8)DMEC, The Haag, Netherlands.
(9)Universidad del Valle de Guatemala, Guatemala City, Guatemala.
(10)Blue Marble Space Institute of Science, 600 1st Ave, Floor 1, Seattle, WA, 
98104, USA.
(11)Department of Biotechnology, SRM Institute of Science and Technology, 
Kattankulathur, India.
(12)Space Biosciences, NASA Ames Research Center, Mountain View, CA, USA.
(13)KBR, Moffett Field, Mountain View, CA, USA.
(14)NASA Jet Propulsion Laboratory, California Institute of Technology, 
Pasadena, CA, USA.
(15)ZIN Technologies Inc, Middleburg Heights, OH, USA.
(16)Department of Biotechnology, Delft University of Technology, Delft, The 
Netherlands.
(17)Biodesign Center for Fundamental and Applied Microbiomics, Biodesign 
Institute, Arizona State University, Tempe, AZ, USA.
(18)BioServe Space Technologies, University of Colorado Boulder, Boulder, CO, 
USA. luis.zea@colorado.edu.

Finding sustainable approaches to achieve independence from terrestrial 
resources is of pivotal importance for the future of space exploration. This is 
relevant not only to establish viable space exploration beyond low Earth-orbit, 
but also for ethical considerations associated with the generation of space 
waste and the preservation of extra-terrestrial environments. Here we propose 
and highlight a series of microbial biotechnologies uniquely suited to establish 
sustainable processes for in situ resource utilization and loop-closure. 
Microbial biotechnologies research and development for space sustainability will 
be translatable to Earth applications, tackling terrestrial environmental 
issues, thereby supporting the United Nations Sustainable Development Goals.

© 2023. The Author(s).

DOI: 10.1038/s41467-023-37070-2
PMCID: PMC10030976
PMID: 36944638 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no competing interests."
Roll maneuvers are essential for active reorientation of Caenorhabditis elegans in 3D media,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5910807/,c. elegans,PMC5910807,29618610,2018 Apr 17,Bilbao A,"1. Proc Natl Acad Sci U S A. 2018 Apr 17;115(16):E3616-E3625. doi: 
10.1073/pnas.1706754115. Epub 2018 Apr 4.

Roll maneuvers are essential for active reorientation of Caenorhabditis elegans 
in 3D media.

Bilbao A(1), Patel AK(1), Rahman M(2), Vanapalli SA(2), Blawzdziewicz J(3)(4).

Author information:
(1)Department of Mechanical Engineering, Texas Tech University, Lubbock, TX 
79409.
(2)Department of Chemical Engineering, Texas Tech University, Lubbock, TX 79409.
(3)Department of Mechanical Engineering, Texas Tech University, Lubbock, TX 
79409; jerzy.blawzdziewicz@ttu.edu.
(4)Department of Physics, Texas Tech University, Lubbock, TX 79409.

Locomotion of the nematode Caenorhabditis elegans is a key observable used in 
investigations ranging from behavior to neuroscience to aging. However, while 
the natural environment of this model organism is 3D, quantitative 
investigations of its locomotion have been mostly limited to 2D motion. Here, we 
present a quantitative analysis of how the nematode reorients itself in 3D 
media. We identify a unique behavioral state of C. elegans-a roll maneuver-which 
is an essential component of 3D locomotion in burrowing and swimming. The rolls, 
associated with nonzero torsion of the nematode body, result in rotation of the 
plane of dorsoventral body undulations about the symmetry axis of the 
trajectory. When combined with planar turns in a new undulation plane, the rolls 
allow the nematode to reorient its body in any direction, thus enabling complete 
exploration of 3D space. The rolls observed in swimming are much faster than the 
ones in burrowing; we show that this difference stems from a purely hydrodynamic 
enhancement mechanism and not from a gait change or an increase in the body 
torsion. This result demonstrates that hydrodynamic viscous forces can enhance 
3D reorientation in undulatory locomotion, in contrast to known hydrodynamic 
hindrance of both forward motion and planar turns.

DOI: 10.1073/pnas.1706754115
PMCID: PMC5910807
PMID: 29618610 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no conflict of interest."
Microfluidic Device for Studying Nematodes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12021249/,cell culture,PMC12021249,40273127,2025,Jhaveri NS,"1. PLoS One. 2025 Apr 24;20(4):e0318143. doi: 10.1371/journal.pone.0318143. 
eCollection 2025.

Development of a size-separation technique to isolate Caenorhabditis elegans 
embryos using mesh filters.

Jhaveri NS(1), Mastronardo MK(1), Collins JB(1), Andersen EC(1).

Author information:
(1)Department of Biology, Johns Hopkins University, Baltimore, Maryland, United 
States of America.

The free-living nematode Caenorhabditis elegans has been routinely used to study 
gene functions, genetic interactions, and conserved signaling pathways. Most 
experiments require that the animals are synchronized to be at the same specific 
developmental stage. Bleach synchronization is traditionally used to obtain a 
population of staged embryos, but the method can have harmful effects on the 
embryos. The physical separation of differently sized animals is preferred but 
often difficult to perform because some developmental stages are the same sizes 
as others. Microfluidic device filters have been used as alternatives, but they 
are expensive and require customization to scale up the preparation of staged 
animals. Here, we present a protocol for the synchronization of embryos using 
mesh filters. Using filtration, we obtained a higher yield of embryos per plate 
than using the standard bleach synchronization protocol and at a scale beyond 
microfluidic devices. Importantly, filtration has no deleterious effects on 
downstream larval development assays. In conclusion, we have exploited the 
differences in the sizes of C. elegans developmental stages to isolate embryo 
cultures suitable for use in high-throughput assays.

Copyright: © 2025 Jhaveri et al. This is an open access article distributed 
under the terms of the Creative Commons Attribution License, which permits 
unrestricted use, distribution, and reproduction in any medium, provided the 
original author and source are credited.

DOI: 10.1371/journal.pone.0318143
PMCID: PMC12021249
PMID: 40273127 [Indexed for MEDLINE]

Conflict of interest statement: The authors have declared that no competing 
interests exist."
NemaFlex: A microfluidics-based technology for standardized measurement of muscular strength of C. elegans.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6057834/,c. elegans,PMC6057834,29892747,2018 Jul 24,Rahman M,"1. Lab Chip. 2018 Jul 24;18(15):2187-2201. doi: 10.1039/c8lc00103k.

NemaFlex: a microfluidics-based technology for standardized measurement of 
muscular strength of C. elegans.

Rahman M(1), Hewitt JE, Van-Bussel F, Edwards H, Blawzdziewicz J, Szewczyk NJ, 
Driscoll M, Vanapalli SA.

Author information:
(1)Department of Chemical Engineering, Texas Tech University, Lubbock, TX 79409, 
USA. siva.vanapalli@ttu.edu.

Muscle strength is a functional measure of quality of life in humans. Declines 
in muscle strength are manifested in diseases as well as during inactivity, 
aging, and space travel. With conserved muscle biology, the simple genetic model 
C. elegans is a high throughput platform in which to identify molecular 
mechanisms causing muscle strength loss and to develop interventions based on 
diet, exercise, and drugs. In the clinic, standardized strength measures are 
essential to quantitate changes in patients; however, analogous standards have 
not been recapitulated in the C. elegans model since force generation fluctuates 
based on animal behavior and locomotion. Here, we report a microfluidics-based 
system for strength measurement that we call 'NemaFlex', based on pillar 
deflection as the nematode crawls through a forest of pillars. We have optimized 
the micropillar forest design and identified robust measurement conditions that 
yield a measure of strength that is independent of behavior and gait. Validation 
studies using a muscle contracting agent and mutants confirm that NemaFlex can 
reliably score muscular strength in C. elegans. Additionally, we report a 
scaling factor to account for animal size that is consistent with a biomechanics 
model and enables comparative strength studies of mutants. Taken together, our 
findings anchor NemaFlex for applications in genetic and drug screens, for 
defining molecular and cellular circuits of neuromuscular function, and for 
dissection of degenerative processes in disuse, aging, and disease.

DOI: 10.1039/c8lc00103k
PMCID: PMC6057834
PMID: 29892747 [Indexed for MEDLINE]

Conflict of interest statement: Conflicts of interest There are no conflicts to 
declare."
